@relation tweet_text

@attribute classification {neutral,ukraine,russia}
@attribute text string

@data
ukraine,',RT @Freed0m_machine: FIFA must revoke 2018 world cup hosting rights from Russia! RETWEET THIS LINK: http://t.co/FFRQ2vT8Qf #Ukraine #stoppuЕ, Really_Useful'
neutral,',War/No More Trouble | Playing for Change | Song Around The World: http://t.co/VOuq7Dq892 #Israel #Gaza #Syria #Irak #Sudan #Ukraine #Earth, UnterderSonne1'
neutral,',RT @icao: Ukraine Requests ICAO Assistance in MH17 Accident Investigation: http://t.co/pTtlcRVr2f, Orgetorix'
neutral,',RT @Bassounov: Jusqu ou ira l #OTAN contre la #Russie pour s emparer de l #Ukraine? Un #ultimatum, comme contre la #Serbie? #mars1999 #juilЕ, Prof_dhistoire'
ukraine,',RT @politsmile: ”крањнц≥ щедр≥ люди #”крањна http://t.co/2rpiuOXi5M, _Ukraine_peace_'
russia,',My Hunt for the Cossacks in Ukraine http://t.co/0cze79B0Hg, HoneymanMe'
neutral,',RT @TIME: \"Unreal\" scenes from the #MH17 crash by Jerome Sessini, one of the first on site http://t.co/wawM35Y9tK http://t.co/6aMF3erJd1, jacklinshi'
neutral,',RT @AndrijUKR: RUS Propaganda suddenly switched from \"Novorossiya\" or \"Donetsk Republic\" to Donetsk Oblast/Ukraine http://t.co/0AFzSSEfz6, BoyceRoper'
neutral,',RT @Ukroblogger: From a Dutch father whose only child was killed on board #MH17 https://t.co/HxUhNEWGsN #Ukraine #Russia #Putin http://t.coЕ, PoloMarcopo'
neutral,',I added a video to a @YouTube playlist http://t.co/5Ej5eaqImt Mensonge ! L Ukraine accuse d un complot contre la Russie MH17, esocietesecrete'
neutral,',RT @Ukroblogger: From a Dutch father whose only child was killed on board #MH17 https://t.co/HxUhNEWGsN #Ukraine #Russia #Putin http://t.coЕ, carinameno'
neutral,',RT @Ukroblogger: From a Dutch father whose only child was killed on board #MH17 https://t.co/HxUhNEWGsN #Ukraine #Russia #Putin http://t.coЕ, AndrijUKR'
ukraine,',RT @noclador: To make it clear: This is #Kyiv #Ukraine! NOT #Moscow #Russia, where people brought no flowers for victims of #MH17! http://tЕ, AnnaWench'
neutral,',RT @A_J_S_B: NEWS CFLASH: Another video of same #Ukraine convoy supposedly passing by #Artemivsk. http://t.co/VNbFe4c5iR, Harkonen2'
russia,',RT @ria_novosti: Putin to Cameron: armed standoff in Ukraine, local skirmishes led to #MH17 plane crash - Kremlin, emmegipress'
russia,',@Wylie_Coyote15 Ukraine had seven in the area when #MH17 was shot down. Also John McCain said Ukraine don t have any. So more lies., TheDinkleberry'
neutral,',RT @HouseForeign: Video: Chairman @RepEdRoyce on @foxnews @ANHQDC w @lelandvittert on #MH17 #Ukraine #Russia #Iran #IranTalksVienna httpЕ, MuzioMarino'
ukraine,',The Australian Financial Review UPDATE 3-Kerry makes most explicit US case against Russia over Malaysia jet ...... http://t.co/CriQM050B5, WadeSimMiser'
neutral,',I confess I have also cooked, chatted and eaten, thereby showing a cavalier indifference to Ukraine., ExtraBold'
neutral,',RT @gbazov: #BREAKING - PLZ RT WIDELY - #Ukraine s Soldiers: Abandoned in #Zelenopillia, Corpses All Around Them - #NOVOROSSIYA http://t.coЕ, ObCap'
neutral,',RT @MarkGaleotti: Blowback s a bitch: #MH17 and the east #Ukraine campaign s long-term costs for #Russia http://t.co/bBz1JoUfvh, Rogue_Beaver'
neutral,',≈вробаскет U-20. Ћучшие индивидуальные показатели украинцев http://t.co/uVwYwrTUZP, isportua'
neutral,',RT @Ukroblogger: From a Dutch father whose only child was killed on board #MH17 https://t.co/HxUhNEWGsN #Ukraine #Russia #Putin http://t.coЕ, rodninelan'
neutral,',RT @guardian: Russians blame Kiev government for MH17 disaster, not Ukrainian rebels: http://t.co/xxfNCK79QP, comradenami'
russia,',@dima7b Killed millions? I m not defending America. And besides, looks like Ukraine picked up America s habit of shooting civilian planes., toshomir'
neutral,',Heartbreaking http://t.co/pgrXuCVZ7M, paulhuddleson'
neutral,',\"@EthiopianThinkT: World piles on Putin over #MH17 http://t.co/OCtiaghV1f http://t.co/sW2TyIjTNI\"the asmara junta also with against ukraine, Mohammed222022'
russia,',RT @BungeeWedgie: Allegedly \"rebels  Buk AA system that came fr #Russia\" turns out to be a Ukranan one. #Ukraine gov. fail #MH17 http://t.Е, Chrisgr72'
neutral,',RT @celmi909: Quereis dejar ya de matar a la gente por favor! En #Gaza #Ukraine donde sea. #indignado #Triste http://t.co/ft3PehW23r, viandejesus'
neutral,',RT @JakubKrupaFE: Powerful poster in memory of #MH17 victims by Victor Grudakov. Minimalism in its purest form. #Ukraine http://t.co/bQjZrhЕ, byl_tut'
neutral,',RT @guardian: Russians blame Kiev government for MH17 disaster, not Ukrainian rebels: http://t.co/xxfNCK79QP, leonorarango13'
neutral,',RT @76ckylesku Ukraine team suffers from food poisioning before #ILoveYou1DFandom, dplchanaja'
ukraine,',¬еликобритани€ может оказать военную помощь ”краине и наказать российских миллиардеров, - ‘эллон http://t.co/VOiFhVrUaF, KIEVLYANEN'
neutral,',Jean-Claude Allard : ЂLТUkraine zone charniere entre Americains et Russesї | The†informant http://t.co/fCPy71sCHV, ZayUma'
russia,',RT @herodfel: .@Channel9 so they found that pesky BUK with the missing missile... turns out it belongs to ukraine military. http://t.co/wsNЕ, castrocalo'
ukraine,',RT @aronets: —в≥т прозр≥ваЇ... #stopputin #mh17 #Ukraine http://t.co/HW7gfGQaLz, vados_ua'
neutral,',#Ukraine “ела погибших в катастрофе Ѕоинга повезут в ’арьков на опознание (видео) (видео) http://t.co/YHOpr322YU, newsua'
neutral,',#Setting4Success DEUTSCHE BANK: Here s The Worst-Case Scenario For The Russia-Ukraine Conflict #News #smallbusiness #entrepreneur, Setting4Success'
ukraine,',#Ukraine —лав€нск вышел на субботник: люди разбирают баррикады террористов (видео) http://t.co/tuKxim1KyS, newsua'
neutral,',RT @NBCNews: AIDS expert Joep Lange killed on Flight #MH17 helped turn scientists into activists http://t.co/f1svmegYeM http://t.co/2FaBnBCЕ, Local4Priya'
neutral,',Russian propaganda &amp; War in Ukraine http://t.co/ezzJJs0GdC via @youtube, ootpek'
ukraine,',RT @cnnbrk: Dutch PM urges Putin to pressure Ukraine rebels to allow full access to MH17 crash site. http://t.co/S84w9w7rJj, Lely_FooFoo'
ukraine,',RT @MFA_Ukraine: ћ»ƒ Ќидерландов: “рагеди€ самолета Boeing-777 открыла глаза ≈вропе на событи€ в ”краине : Ќовости ”Ќ»јЌ http://t.co/T9z3A1Е, IZhelikhovskyi'
neutral,',RT @GeertNoels: Where are all the Nobel Peace Prize winners now ? #gaza #ukraine #stopwar, Bsalaets'
ukraine,',RT @Freed0m_machine: FIFA must revoke 2018 world cup hosting rights from Russia! RETWEET THIS LINK: http://t.co/FFRQ2vT8Qf #Ukraine #stoppuЕ, odessum'
russia,',RT @GogiGogi12: So BUK was fired from #Ukraine, not rebel controlled territory afterall. http://t.co/0Dsi5mINWO #MH17, space_lord_mofo'
neutral,',Holenderscy wojskowi napisali list otwarty z prosba o wyslanie ich na Ukraine. Jezeli maja sie zachowac tak jak... http://t.co/rlGsv1eBlG, AntySpec'
neutral,',@indiaharrisss fly back over Ukraine and you might not, TomStev0'
neutral,',RT @Ukroblogger: From a Dutch father whose only child was killed on board #MH17 https://t.co/HxUhNEWGsN #Ukraine #Russia #Putin http://t.coЕ, SweatLoaf1971'
russia,',Ќацгварди€ ”краины обстрел€ла место крушени€ Boeing под ƒонецком http://t.co/XBpVWJSeLr, 605572'
neutral,',RT @HLindseyReport: Rebels Put Bodies On A Train: At the biggest crash site, where emergency workers had bagged dozens of bodies o... http:Е, JESUSAVESISRAEL'
ukraine,',RT @TPM: Cameron demands Russia cease support for rebels in Ukraine: http://t.co/pyxqadeAyJ, brosephdad'
ukraine,',RT @Freed0m_machine: FIFA must revoke 2018 world cup hosting rights from Russia! RETWEET THIS LINK: http://t.co/FFRQ2vT8Qf #Ukraine #stoppuЕ, free1953'
ukraine,',RT @TPM: Cameron demands Russia cease support for rebels in Ukraine: http://t.co/pyxqadeAyJ, AndreVelva'
ukraine,',RT @Elena_Baturyna: У¬след за солдатами армии ћалайзии в ”краину прос€тс€ солдаты √олландии. »х открытое письмо http://t.co/qkvQQX8DxR #MHЕ, ekalonso'
